index,price,brand,model,year,title_status,mileage,color,vin
0,6300,toyota,cruiser,2008,clean vehicle,274117,black,  jtezu11f88k007763
1,2899,ford,se,2011,clean vehicle,190552,silver,  2fmdk3gc4bbb02217
2,5350,dodge,mpv,2018,clean vehicle,39590,silver,  3c4pdcgg5jt346413
3,25000,ford,door,2014,clean vehicle,64146,blue,  1ftfw1et4efc23745
4,27700,chevrolet,1500,2018,clean vehicle,6654,red,  3gcpcrec2jg473991
5,5700,dodge,mpv,2018,clean vehicle,45561,white,  2c4rdgeg9jr237989
6,7300,chevrolet,pk,2010,clean vehicle,149050,black,  1gcsksea1az121133
7,13350,gmc,door,2017,clean vehicle,23525,gray,  1gks2gkc3hr326762
8,14600,chevrolet,malibu,2018,clean vehicle,9371,silver,  1g1zd5st5jf191860
9,5250,ford,mpv,2017,clean vehicle,63418,black,  2fmpk3j92hbc12542
10,10400,dodge,coupe,2009,clean vehicle,107856,orange,  2b3lj54t49h509675
11,12920,gmc,mpv,2017,clean vehicle,39650,white,  1gks2bkc6hr136280
12,31900,chevrolet,1500,2018,clean vehicle,22909,black,  3gcukrec0jg176059
13,5430,chrysler,wagon,2017,clean vehicle,138650,gray,  2c4rc1cg5hr616095
14,20700,ford,door,2013,clean vehicle,100757,black,  1ftfw1et7dfa47790
15,12710,gmc,door,2017,clean vehicle,25747,white,  1gks2gkc6hr328389
16,5200,kia,forte,2018,clean vehicle,46194,blue,  3kpfk4a77je198723
17,16500,buick,encore,2018,clean vehicle,20002,red,  kl4cj1sb6jb688844
18,5210,ford,mpv,2017,clean vehicle,35714,white,  2fmpk3j95hbb73607
19,38100,ford,door,2013,clean vehicle,54380,gray,  1ft8w3dt5deb68569
20,12520,gmc,door,2017,clean vehicle,30114,white,  1gks2gkcxhr328380
21,7300,kia,forte,2018,clean vehicle,38823,black,  3kpfl4a79je272611
22,15000,chevrolet,door,2015,clean vehicle,61578,black,  2gnflhe33f6214023
23,6180,ford,mpv,2017,clean vehicle,46010,blue,  2fmpk3j84hbc09276
24,20800,ford,door,2013,clean vehicle,105510,silver,  1ftfw1efxdfa01008
25,11900,gmc,door,2017,clean vehicle,28040,silver,  1gks2gkc2hr327918
26,21500,kia,sorento,2020,clean vehicle,11451,blue,  5xypg4a59lg616029
27,12000,buick,door,2014,clean vehicle,31039,brown,  1g4ps5sk1e4188639
28,4190,ford,doors,2017,clean vehicle,44174,white,  1fadp5auxhl109013
29,13000,ford,chassis,2008,clean vehicle,93698,white,  1fdwf37r28eb95687
30,12710,gmc,door,2017,clean vehicle,26364,silver,  1gks2gkc6hr326335
31,18500,infiniti,q70,2016,clean vehicle,71967,gray,  jn1by1ar7gm271292
32,29800,chevrolet,camaro,1973,clean vehicle,46226,red,  1q87t3n166389
33,5330,ford,mpv,2017,clean vehicle,37792,no_color,  2fmpk3j9xhbb56401
34,13000,ford,convertible,2003,clean vehicle,58817,gray,  1fahp60a63y107799
35,11900,gmc,door,2017,clean vehicle,27965,black,  1gks2gkc2hr328793
36,16600,mercedes-benz,vans,2016,clean vehicle,110907,white,  8btpe7dd4ge127040
37,19200,chevrolet,1500,2018,clean vehicle,2430,white,  1gcncneh5jz302471
38,7320,ford,mpv,2017,clean vehicle,32366,gold,  2fmpk4k96hbb16692
39,7000,ford,pk,2003,clean vehicle,176567,white,  1ftnx20p73ed69682
40,12710,gmc,door,2017,clean vehicle,30049,white,  1gks2gkc6hr325461
41,16600,mercedes-benz,vans,2016,clean vehicle,97983,white,  wd4pe7dd1gp253504
42,30500,chevrolet,1500,2018,clean vehicle,30442,red,  3gcukrec4jg204915
43,6330,ford,mpv,2017,clean vehicle,38123,red,  2fmpk3j85hbb79415
44,55000,ford,srw,2017,clean vehicle,15273,black,  1ft7w3bt5hee88155
45,12520,gmc,door,2017,clean vehicle,28972,black,  1gks2gkcxhr324555
46,16200,jeep,compass,2019,clean vehicle,30061,red,  3c4njccb3kt676336
47,19000,chevrolet,malibu,2017,clean vehicle,18414,white,  1g1zh5sx9hf118136
48,5580,dodge,mpv,2017,clean vehicle,46829,gray,  3c4pddeg7ht595704
49,54000,ford,srw,2017,clean vehicle,26241,black,  1ft7w3bt0hef02785
50,12710,gmc,mpv,2017,clean vehicle,39886,red,  1gks2bkc7hr133811
51,16000,jeep,compass,2019,clean vehicle,31594,silver,  3c4njccb0kt676343
52,27000,buick,enclave,2017,clean vehicle,32107,no_color,  5gakrckdxhj113512
53,7760,ford,mpv,2017,clean vehicle,44794,gray,  2fmpk4j87hbb21750
54,19600,chrysler,300,2019,clean vehicle,42648,gray,  2c3ccabgxkh559658
55,12920,gmc,mpv,2017,clean vehicle,39165,silver,  1gks2bkc6hr134450
56,20000,jeep,cherokee,2019,clean vehicle,38355,charcoal,  1c4pjmbx6kd298806
57,18100,buick,door,2017,clean vehicle,46766,silver,  1g4zp5ss8hu149142
58,23000,chrysler,pacifica,2020,clean vehicle,2473,white,  2c4rc1fg5lr143335
59,18500,chrysler,300,2019,clean vehicle,38586,gray,  2c3ccaeg5kh585628
60,13490,gmc,door,2017,clean vehicle,27842,white,  1gks2gkc0hr323625
61,20700,jeep,cherokee,2019,clean vehicle,31156,white,  1c4pjmbx2kd360704
62,17800,chevrolet,door,2017,clean vehicle,52435,black,  1g1fb1rsxh0185712
63,6650,ford,door,2017,clean vehicle,29942,black,  1fmcu0gd8huc93883
64,29100,chrysler,pacifica,2019,clean vehicle,25281,red,  2c4rc1gg3kr730663
65,12710,gmc,door,2017,clean vehicle,32504,silver,  1gks2gkc6hr327937
66,21100,jeep,cherokee,2019,clean vehicle,28649,silver,  1c4pjmbx6kd298174
67,18600,chevrolet,door,2017,clean vehicle,35200,white,  1g1fb1rsxh0104806
68,4340,ford,door,2017,clean vehicle,25602,silver,  1fmcu0gd7huc86259
69,19300,chrysler,300,2019,clean vehicle,34801,gray,  2c3ccakg4kh594972
70,12780,gmc,door,2017,clean vehicle,31009,black,  1gks2gkc7hr321306
71,15800,jeep,compass,2019,clean vehicle,35595,charcoal,  3c4njccb4kt662767
72,29400,bmw,x3,2017,clean vehicle,23765,black,  5uxwx7c3xh0u44145
73,4430,ford,door,2017,clean vehicle,31792,black,  1fmcu0gd9huc37922
